Opened,Closed,Symbol,Exp,Type,Legs,Quantity,Status,P/L,Risk,ROR,Premium,Reward/Risk,Open Price,Open Bid Price,Open Ask Price,Close Price,Close Bid Price,Close Ask Price,Max Loss,Max Profit,Price at Open,Price at Close
"Jul 14, 2023 10:00am","Jul 14, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,500 / short put 4,510 / short call 4,510 / long call 4,520","1","expired","415","127","326.77","873","687.4","8.73","7.85","9.6","4.58","","","127","873","4524.29","4505.42"
"Jul 17, 2023 10:00am","Jul 17, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,495 / short put 4,505 / short call 4,505 / long call 4,515","1","expired","-210","210","-100","790","376.19","7.9","7.6","8.2","10","","","210","790","4509.91","4522.79"
"Jul 18, 2023 10:00am","Jul 18, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,515 / short put 4,525 / short call 4,525 / long call 4,535","1","expired","-225","225","-100","775","344.44","7.75","7.35","8.15","10","","","225","775","4529.72","4554.98"
"Jul 19, 2023 10:00am","Jul 19, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,545 / short put 4,555 / short call 4,555 / long call 4,565","1","expired","-116","116","-100","884","762.07","8.84","8.5","9.2","10","","","116","884","4574.68","4565.72"
"Jul 20, 2023 10:00am","Jul 20, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,555 / short put 4,565 / short call 4,565 / long call 4,575","1","expired","-190","190","-100","810","426.32","8.1","7.6","8.6","10","","","190","810","4561.41","4534.87"
"Jul 21, 2023 10:00am","Jul 21, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,525 / short put 4,535 / short call 4,535 / long call 4,545","1","expired","691","175","394.86","825","471.43","8.25","7.9","8.6","1.34","","","175","825","4541.76","4536.34"
"Jul 24, 2023 10:00am","Jul 24, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,525 / short put 4,535 / short call 4,535 / long call 4,545","1","expired","-170","170","-100","830","488.24","8.3","8.05","8.55","10","","","170","830","4545.48","4554.64"
"Jul 25, 2023 10:00am","Jul 25, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,545 / short put 4,555 / short call 4,555 / long call 4,565","1","expired","-205","205","-100","795","387.8","7.95","7.6","8.3","10","","","205","795","4562.5","4567.46"
"Jul 26, 2023 10:00am","Jul 26, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,555 / short put 4,565 / short call 4,565 / long call 4,575","1","expired","720","105","685.71","895","852.38","8.95","8.4","9.5","1.75","","","105","895","4561.33","4566.75"
"Jul 31, 2023 10:00am","Jul 31, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,570 / short put 4,580 / short call 4,580 / long call 4,590","1","expired","-91","195","-46.67","805","412.82","8.05","7.8","8.3","8.96","","","195","805","4583.19","4588.96"
"Aug 2, 2023 10:00am","Aug 2, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,565 / short put 4,575 / short call 4,575 / long call 4,585","1","expired","-62","62","-100","938","1512.9","9.38","8.85","9.9","10","","","62","938","4541.86","4513.39"
"Aug 4, 2023 10:00am","Aug 4, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,490 / short put 4,500 / short call 4,500 / long call 4,510","1","expired","-132","132","-100","868","657.58","8.68","8.3","9.05","10","","","132","868","4514.64","4478.03"
"Aug 7, 2023 10:00am","Aug 7, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,470 / short put 4,480 / short call 4,480 / long call 4,490","1","expired","-105","105","-100","895","852.38","8.95","8.5","9.4","10","","","105","895","4496","4518.44"
"Aug 8, 2023 10:00am","Aug 8, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,510 / short put 4,520 / short call 4,520 / long call 4,530","1","expired","-51","51","-100","949","1860.78","9.49","8.8","10.2","10","","","51","949","4476.73","4499.38"
"Aug 9, 2023 10:00am","Aug 9, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,490 / short put 4,500 / short call 4,500 / long call 4,510","1","expired","-170","170","-100","830","488.24","8.3","8","8.6","10","","","170","830","4494.22","4467.71"
"Aug 14, 2023 10:00am","Aug 14, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,455 / short put 4,465 / short call 4,465 / long call 4,475","1","expired","-170","170","-100","830","488.24","8.3","8","8.6","10","","","170","830","4461.44","4489.72"
"Aug 15, 2023 10:00am","Aug 15, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,480 / short put 4,490 / short call 4,490 / long call 4,500","1","expired","-92","92","-100","908","986.96","9.08","8.6","9.55","10","","","92","908","4462.08","4437.86"
"Aug 16, 2023 10:00am","Aug 16, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,430 / short put 4,440 / short call 4,440 / long call 4,450","1","expired","-145","145","-100","855","589.66","8.55","8.3","8.8","10","","","145","855","4443.43","4404.33"
"Aug 17, 2023 10:00am","Aug 17, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,395 / short put 4,405 / short call 4,405 / long call 4,415","1","expired","-155","155","-100","845","545.16","8.45","8.1","8.8","10","","","155","845","4410.92","4370.36"
"Aug 18, 2023 10:00am","Aug 18, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,360 / short put 4,370 / short call 4,370 / long call 4,380","1","expired","858","113","759.29","887","784.96","8.87","8.5","9.25","0.29","","","113","887","4348.86","4369.71"
"Aug 21, 2023 10:00am","Aug 21, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,360 / short put 4,370 / short call 4,370 / long call 4,380","1","expired","-85","85","-100","915","1076.47","9.15","8.7","9.6","10","","","85","915","4394.48","4399.77"
"Aug 24, 2023 10:00am","Aug 24, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,425 / short put 4,435 / short call 4,435 / long call 4,445","1","expired","-98","98","-100","902","920.41","9.02","8.6","9.45","10","","","98","902","4455.6","4376.31"
"Aug 28, 2023 10:00am","Aug 28, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,395 / short put 4,405 / short call 4,405 / long call 4,415","1","expired","-71","71","-100","929","1308.45","9.29","8.8","9.8","10","","","71","929","4432.1","4433.31"
"Aug 30, 2023 10:00am","Aug 30, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,490 / short put 4,500 / short call 4,500 / long call 4,510","1","expired","-115","115","-100","885","769.57","8.85","8.25","9.45","10","","","115","885","4517.68","4514.87"
"Aug 31, 2023 10:00am","Aug 31, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,505 / short put 4,515 / short call 4,515 / long call 4,525","1","expired","139","127","109.45","873","687.4","8.73","8.45","9","7.34","","","127","873","4528.54","4507.66"
